date,reservoir_id,samples,wml_min_taf,wml_avg_taf,wml_max_taf
2024-09-29,OROVILLE,1,2000.0,2000.0,2000.0
2024-09-29,SHASTA,1,2720.0,2720.0,2720.0
2024-09-29,SONOMA,1,192.0,192.0,192.0
2024-09-30,OROVILLE,1,2001.0,2001.0,2001.0
2024-09-30,SHASTA,1,2727.0,2727.0,2727.0
2024-09-30,SONOMA,1,193.0,193.0,193.0
2024-10-01,OROVILLE,1,1999.0,1999.0,1999.0
2024-10-01,SHASTA,1,2721.0,2721.0,2721.0
2024-10-01,SONOMA,1,192.0,192.0,192.0
2024-10-02,OROVILLE,1,2000.0,2000.0,2000.0
2024-10-02,SHASTA,1,2727.0,2727.0,2727.0
2024-10-02,SONOMA,1,194.0,194.0,194.0
2024-10-04,OROVILLE,1,2000.0,2000.0,2000.0
2024-10-04,SHASTA,1,2721.0,2721.0,2721.0
2024-10-04,SONOMA,1,191.0,191.0,191.0
2024-10-05,OROVILLE,2,2000.0,2000.0,2000.0
2024-10-05,SHASTA,2,2722.0,2724.5,2727.0
2024-10-05,SONOMA,2,193.0,193.0,193.0
2024-10-06,OROVILLE,1,2000.0,2000.0,2000.0
2024-10-06,SHASTA,1,2726.0,2726.0,2726.0
2024-10-06,SONOMA,1,192.0,192.0,192.0
2024-10-07,OROVILLE,1,2000.0,2000.0,2000.0
2024-10-07,SHASTA,1,2727.0,2727.0,2727.0
2024-10-07,SONOMA,1,192.0,192.0,192.0
